title,rating,runtime,imdb_rating,tmdb_rating,meta_score,genre_1,genre_2,genre_3,description,director,stars,votes,gross
Nativity Rocks!,NA,100,4.3,3.1,NA,Comedy,Family,Musical,The staff and students of St Bernadette's Primary School in Coventry audition for a place in a rock-musical competition.,Debbie Isitt,"Simon Lipkin, Craig Revel Horwood, Daniel Boys, Anna Chancellor,",771,NA
Mr. Soft Touch,Approved,93,6.6,6.9,NA,Crime,Drama,Romance,"When he learns that a gangster has taken over his nightclub and murdered his partner, returning WW2 hero Joe Miracle steals the money from the club's safe and hides in a settlement home, while the mob is on his tail.",Gordon Douglas,"Henry Levin, Glenn Ford, Evelyn Keyes, John Ireland, Beulah Bondi,",1187,NA
Reporting for Christmas,NA,86,5.7,3.2,NA,Drama,Romance,NA,"When an idealistic reporter is assigned a puff piece about a Christmas toy manufacturer over the holidays, a charming toymaker inspires her to search her heart to find true happiness.",Jack C. Newell,"Tamara Feldman, Matt Trudeau, Kelvin John Davis, Suzanne C Johnson,",331,NA
Christmas Time Capsule,NA,NA,6.2,3.9,NA,Romance,NA,NA,"James left a family heirloom engagement ring with his best friend, Tiffany, for safekeeping. He asks Tiffany for the ring, intending to propose to another woman. Tiffany has other ideas on who James should marry.",Marco Deufemia,"Paula Tiberius, Franco Lo Presti, Emily Alatalo, Lindura, Toni Ellwand,",263,NA
A Christmas Love Story,TV-G,84,6.9,7.2,NA,Drama,Music,Romance,"A youth choir director (Chenoweth) needs to write a big song for the Christmas Eve show but ""finds herself distracted"" when a boy with a golden voice (Kevin Quinn) joins her choir, which will come as news to his widowed father (Wolf).",Eric Close,"Kristin Chenoweth, Scott Wolf, Kevin Quinn, Keith D. Robinson,",1674,NA
A Christmas Coincidence,TV-G,87,6.6,6.4,NA,Drama,Romance,NA,A woman who accepts her boyfriend's marriage proposal is invited to her aunt's home for Christmas and develops romantic feelings for an inn owner.,Michael Robison,"Kimberley Sustad, Paul Campbell, Kathie Lee Gifford, Giles Panton,",1955,NA
Snow Bride,TV-G,84,6.7,8,NA,Comedy,Family,Romance,"Greta Kaine (Katrina Law) is always in search of juicy gossip. As a gossip-tabloid reporter in Los Angeles, it's her job to expose the rich and famous. So when word gets out that the late ...                See full summary »",Bert Kish,"Katrina Law, Jordan Belfi, Patricia Richardson, Susie Abromeit,",3693,NA
Homegrown Christmas,TV-G,88,6,6.5,NA,Romance,NA,NA,"After stepping down as CEO of her dream job, Maddie (Lori Loughlin) heads home for the holidays to gain perspective. She runs into her high-school sweetheart Carter (Victor Webster), and ...                See full summary »",Mel Damski,"Lori Loughlin, Victor Webster, Gwynyth Walsh, Isabella Giannulli,",1230,NA
Blending Christmas,TV-PG,85,5.4,5.8,NA,Comedy,Drama,Family,The holiday season is in full swing when Emma learns that the resort where she used to spend Christmases with her family is being redeveloped.,Marla Sokoloff,"Haylie Duff, Aaron O'Connell, Christopher Knight, Mike Lookinland,",507,NA
The Best Man Holiday,R,123,6.6,2,59,Comedy,Drama,NA,"When college friends reunite after 15 years over the Christmas holidays, they discover just how easy it is for long-forgotten rivalries and romances to be reignited.",Malcolm D. Lee,"Monica Calhoun, Morris Chestnut, Melissa De Sousa, Taye Diggs,",16694,$70.53M
A Bride for Christmas,TV-G,84,6.5,4.2,NA,Comedy,Romance,NA,A single man tries to win a bet by getting a woman recovering from a broken engagement to marry him by Christmas.,Gary Yates,"Arielle Kebbel, Andrew W. Walker, Kimberley Sustad, Sage Brocklebank,",4595,NA
A Taste of Christmas,TV-PG,91,5.5,3.4,NA,Comedy,Romance,NA,"When Natalie learns her cousin Francesca must cancel the Christmas Eve opening of her new Italian restaurant, Natalie's heart goes out to all of the guests who were planning on attending.",Damián Romay,"Anni Krueger, Gilles Marini, Nia Vardalos, Emma Myers,",625,NA
A Veteran's Christmas,TV-G,84,7,3.2,NA,Drama,Romance,NA,"After receiving an honorable discharge, a former Marine suffers a minor car accident which strands her in a small town for the Christmas season.",Mark Jean,"Sean Faris, Eloise Mumford, Mary Long, Amanda Lisman,",2305,NA
Christmas on the Farm,NA,86,5.2,9,NA,Comedy,Drama,Romance,A romantic comedy about a New York socialite who fakes her identity to get her book published and has to rush back to her deceased mother's farm when the publisher and her son come to visit their 'Australian' author.,Christopher Weekes,"Poppy Montgomery, Darren McMullen, Hugh Sheridan, Nicholas Brown,",942,NA
Christmas by Design,NA,84,6.1,4.4,NA,Comedy,Drama,Romance,A fashion designer learns what's most important in life when she joins a Christmas challenge to create a new holiday-themed collection.,Max McGuire,"Rebecca Dalton, Jonathan Keltz, Joanna Douglas, Susan Hamann,",658,NA
A Holiday Spectacular,TV-G,85,7.2,8.3,NA,Comedy,Drama,Romance,"Set in 1958, follows Maggie who sneaks up to New York City to make her secret dream come true: dancing live on stage in the Christmas Spectacular at Radio City Music Hall, putting her high-society wedding plans on hold.",John Putch,"Ginna Claire Mason, Derek Klena, Sara Gallo, Tiffany Denise Hobbs,",1269,NA
Family for Christmas,TV-G,85,6.2,6.3,NA,Drama,Family,Fantasy,"After a conversation with a man playing Santa Claus during her office Christmas party, a woman wakes up to find herself married to her college sweetheart with two kids, and questions her life choices.",Amanda Tapping,"Lacey Chabert, Tyron Leitso, Milli Wilkinson, Audrey Smallman,",2581,NA
A Big Fat Family Christmas,TV-G,85,6.5,7.6,NA,Comedy,Drama,Romance,Liv gets an assignment to photograph the Chang family's annual holiday party for a front-page story--nobody at work knows that they are her family. She wants to confide in new co-worker Henry but doesn't want to jeopardize her big break.,Jennifer Liao,"Shannon Chan-Kent, Shannon Kook, Tia Carrere, Yee Jee Tso,",798,NA
Christmas Land,TV-G,84,5.8,5.3,NA,Comedy,Drama,Family,"After inheriting a Christmas tree farm, a woman's plans to sell it change when she falls in love with the townspeople and meets a charming lawyer named Tucker.",Sam Irvin,"Nikki Deloach, Luke Macfarlane, Jason-Shane Scott, Maureen McCormick,",2932,NA
No Sleep 'Til Christmas,TV-14,90,6.5,5.9,NA,Comedy,Romance,NA,A bartender and a businesswoman find they only have one thing in common; insomnia.,Phil Traill,"Odette Annable, Dave Annable, Charles Michael Davis, Alphonso McAuley,",3002,NA
March of the Wooden Soldiers,Passed,77,7.1,5.2,NA,Comedy,Family,Fantasy,"Opposing the evil Barnaby, Ollie Dee and Stanley Dum try and fail to pay-off Mother Peep's mortgage and mislead his attempts to marry Little Bo. Enraged, Barnaby's Bogeymen are set on Toyland.",Gus Meins,"Charley Rogers, Stan Laurel, Oliver Hardy, Virginia Karns, Charlotte Henry,",7433,NA
A Christmas Miracle for Daisy,NA,85,5.9,2.8,NA,Romance,NA,NA,"Whitney (Wagner) owns Marietta Designs, an interior-design firm which she runs with her friend Andi (Tegan Moss). She's designing Santa's float for the town's annual Christmas parade when a...                See full summary »",Mike Rohl,"Jill Wagner, Nick Bateman, Rubi Tupper, Tegan Moss,",2714,NA
Chateau Christmas,TV-G,84,6.4,7,NA,Comedy,Drama,Music,"World-famous pianist Margot returns to Chateau Neuhaus for Christmas. While there she reunites with her ex-boyfriend Jackson, who convinces her to headline their annual Christmas Concert.",Michael Robison,"Merritt Patterson, Luke Macfarlane, Jesse Hutch, Julia Benson,",1888,NA
The Mistle-Tones,TV-PG,90,6.4,3.5,NA,Comedy,Family,Music,A talented singer forms a musical group and challenges her rivals to a competition on Christmas Eve.,Paul Hoen,"Tia Mowry, Jonathan Patrick Moore, Andy Gala, Megan Kathleen Duffy,",2493,NA
A Fabled Holiday,TV-G,84,6.6,1.5,NA,Comedy,Drama,Romance,Talia and her childhood best friend Anderson reunite in a curiously familiar-looking town full of Christmas spirit that restores its visitors when they need it most.,Ruby J. Munro,"Brooke D'Orsay, Ryan Paevey, John Prowse, Carmel Amit,",1200,NA
The Sweetest Christmas,TV-G,90,6.3,6.4,NA,Comedy,Drama,Romance,"Kylie is expecting a proposal from her boyfriend/boss at a restaurant and gets a promotion instead. The restaurant owner is her old high school boyfriend, she hasn't seen in years. They help each other out. Love in the air?",Terry Ingram,"Lacey Chabert, Lea Coco, Jonathan Adams, Brenden Sunderland,",2640,NA
Christmas Cupid,PG-13,85,5.4,2.7,NA,Comedy,Fantasy,Romance,A supernatural comedy in which a ruthless PR executive is forced to reconsider her life choices when her number one client suffers an untimely death during the Christmas season.,Gil Junger,"Christina Milian, Kenny Alfonso, Cynthia Evans, Burgess Jenkins,",4059,NA
A Christmas Prince: The Royal Wedding,TV-PG,92,5.3,8.7,NA,Comedy,Drama,Romance,"A year after helping Richard get to the throne, Amber is about to become his wife. But is she really made to be queen?",John Schultz,"Rose McIver, Ben Lamb, Alice Krige, Honor Kneafsey,",11765,NA
Small Town Christmas,TV-G,85,6.7,8.8,NA,Comedy,Drama,Romance,A high-flying female novelist from New York takes a trip to the small town that inspired her latest best-seller.,Maclain Nelson,"Ashley Newbrough, Kristoffer Polaha, Preston Vanderslice, Bailey Skodje,",1932,NA
Scrooge,PG,78,6.4,8.5,NA,Drama,Family,Fantasy,"Ebenezer Scrooge is a mean old miser who wants nothing to do with Christmas. The Ghosts of Christmas Past, Present and Yet to Come visit Scrooge on Christmas Eve, taking him on a journey into the very spirit and magic of Christmas itself.",Henry Edwards,"Seymour Hicks, Donald Calthrop, Robert Cochran, Mary Glynne,",2553,NA
A Christmas Wish,TV-PG,90,6.3,4.2,NA,Comedy,Drama,Family,"Maddie slips in a wish that her sister Faith will experience true love for the first time. The next day, Faith meets seemingly-perfect Andrew, but is he really the one for her?",Emily Moss Wilson,"Hilarie Burton, Tyler Hilton, Megan Park, Lee Norris,",1081,NA
Jingle Bell Princess,NA,84,6.5,1.4,NA,Romance,NA,NA,"Through a series of mishaps, sophisticated Princess Amelia is stranded in the small town of Tucker, Maine. There she becomes an ""ordinary"" guest of the unsuspecting Cutler family.",Don McBrearty,"Merritt Patterson, Trevor Donovan, Charlie Boyle, Marnie McPhail,",1169,NA
A Shoe Addict's Christmas,TV-G,85,6.6,8.6,NA,Fantasy,Romance,NA,Noelle's life stopped when her boyfriend broke up with her on Christmas Eve three years ago. A handsome fireman moves in above her. She gets locked in at work in a department store all alone save the ghost of Christmas past.,Michael Robison,"Candace Cameron Bure, Luke Macfarlane, Jean Smart, Tenika Davis,",3000,NA
Falling for Christmas,TV-G,87,6.2,4.7,NA,Drama,Romance,Sport,"An injured figure skater is sent to the mountains to recover from an injury. Once there, she meets an ex-hockey player and his young daughter and begins to realize that something is missing from her life.",Christie Will Wolf,"Leah Renee, Niall Matter, Lisa Whelchel, Michael Teigen,",1672,NA
Debbie Macomber's Dashing Through the Snow,NA,83,6.5,8.9,NA,Comedy,Family,Romance,"Stranded at an airport at Christmastime, Ashley Jane Harrison accepts a ride from Dash Sutherland, who has just rented the last car in town. As the pair heads north, their adventures include car trouble.",Kristoffer Tabori,"Meghan Ory, Andrew W. Walker, Aaron Craven, Rukiya Bernard,",2684,NA
The Flight Before Christmas,TV-PG,88,5.9,8.9,NA,Comedy,Romance,NA,"Two strangers who both happen to be in marketing, share a room at a bed-and-breakfast when a snowstorm strands their flight in Montana on Christmas Eve.",Peter Sullivan,"Mayim Bialik, Ryan McPartlin, Reginald VelJohnson, Jo Marie Payton,",2035,NA
Christmas in Evergreen,TV-G,84,6.5,8,NA,Drama,Family,Fantasy,"Hoping to spur her longtime beau to action, a small-town veterinarian wishes upon a snow globe that this will be her most romantic Christmas ever.",Alex Zamm,"Ashley Williams, Teddy Sears, Holly Robinson Peete, Jaeda Lily Miller,",3024,NA
Time for Me to Come Home for Christmas,TV-G,84,6.6,3.6,NA,Comedy,Drama,Music,"When strangers Cara and Heath are stranded before Christmas, they embark on an unexpected journey that may give them the miracles they've been hoping for.",David Winning,"Josh Henderson, Megan Park, Lindsay Maxwell, Paul McGillion,",1785,NA
A Season for Miracles,G,100,7.6,4.3,NA,Drama,Romance,NA,A miracle occurs for a homeless family consisting of two children neglected by their incarcerated mother and their protective aunt who is trying to keep them out of the foster system with the help of an angel.,Michael Pressman,"Carla Gugino, Kathy Baker, David Conrad, Laura Dern,",1873,NA
The Nine Lives of Christmas,TV-G,86,7.2,8,NA,Comedy,Drama,Family,"After a stray cat adopts Zachary, he meets Marilee and realizes the single life is not as fulfilling as he thought it was.",Mark Jean,"Brandon Routh, Kimberley Sustad, Stephanie Bennett, Chelsea Hobbs,",4423,NA
"Nativity 3: Dude, Where's My Donkey?!",NA,109,3.6,3.8,NA,Comedy,Family,NA,"The pupils of St Bernadette's and the madcap Mr Poppy are back. When their new teacher Mr Shepherd loses his memory as well as Archie the Donkey, it's up to them to save the day and reunite him with his fiancée Sophie in New York.",Debbie Isitt,"Martin Clunes, Marc Wootton, Catherine Tate, Adam Garcia,",2052,NA
Every Christmas Has a Story,TV-G,82,6.1,2.6,NA,Comedy,Romance,NA,"While on air, a TV personality accidentally admits she hates Christmas. When she goes to a small town to film a special to repair her image, the Christmas spirit begins to change her life.",Ron Oliver,"Lori Loughlin, Colin Ferguson, Willie Aames, Catherine Lough Haggquist,",1939,NA
The Christmas Contract,TV-PG,87,6.8,5.7,NA,Drama,Family,Romance,A recently-single woman dreads the thought of going back to her Louisiana hometown for Christmas when she finds out that her ex-boyfriend will be there with his new girlfriend.,Monika Mitchell,"Hilarie Burton, Robert Buckley, Danneel Ackles, Antwon Tanner,",2836,NA
A Christmas Prince: The Royal Baby,TV-PG,84,5.4,8.7,NA,Family,Romance,NA,"It's Christmastime in Aldovia, and a royal baby is on the way. Amber and Richard host royals from a distant kingdom to renew a sacred truce, but when the treaty vanishes, peace is jeopardized and an ancient curse threatens their family.",John Schultz,"Rose McIver, Ben Lamb, Alice Krige, Honor Kneafsey,",7745,NA
Christmas at the Plaza,TV-G,84,6.5,6.8,NA,Drama,Romance,NA,An archival historian is hired to create a Christmas display at the Plaza Hotel and is paired with a handsome Christmas decorator to bring it to life.,Ron Oliver,"Elizabeth Henstridge, Ryan Paevey, Bruce Davison, Julia Duffy,",3364,NA
Northpole: Open for Christmas,TV-G,83,6.1,5.8,NA,Drama,Family,Fantasy,"When Mackenzie inherits her aunt's once-majestic inn, she decides to sell it. But fixing up the rundown place is more challenging than she had anticipated. Then the magic of Christmas intervenes, with unexpected help from Santa's elves.",Douglas Barr,"Lori Loughlin, Bailee Madison, Dermot Mulroney, Paul Stewart,",2038,NA
Saving Christmas Spirit,NA,90,5.7,2.1,NA,Comedy,Drama,Romance,An archaeologist discovers the importance of letting a little festive wonder back into her life and finds both history and love.,Wendy Faraone,"Ashley Newbrough, James Robinson, Jake Satow, Joanne Randle,",501,NA
A Royal Christmas Crush,TV-G,120,5.5,6.2,NA,Romance,NA,NA,"Ava accepts the opportunity of a lifetime to work at the Royal Ice Hotel which leads her to a surprise whirlwind romance with the most important guest of all, the Royal Prince himself.",Marita Grabiak,"Katie Cassidy, Stephen Huszar, Kathryn Kohut, Angela Besharah,",701,NA
Twas the Night Before Christmas,TV-G,84,6.7,9.1,NA,Comedy,Drama,Family,"Follow a former actress as she needs to take charge of a town's annual Christmas Eve courtroom production debating the true authorship of the poem ""A Visit from St. Nick"".",Gary Yates,"Torrey DeVitto, Zane Holtz, Amanda Barker, Tanisha Thammavongsa,",821,NA
Christmas Getaway,TV-G,90,7,2.4,NA,Comedy,Drama,Romance,"A travel writer takes a Christmas vacation, but finds herself double-booked with a widower, his mother, and his daughter at the holiday site.",Mel Damski,"Bridget Regan, Travis Van Winkle, Raven Stewart, Teryl Rothery,",3464,NA
Christmas Incorporated,TV-G,85,6.4,5.4,NA,Comedy,Drama,Romance,"Riley lands herself a new job via a case of mistaken identity, and her first assignment is to accompany her new boss on a trip to save a failing toy factory.",Jonathan Wright,"Shenae Grimes-Beech, Steve Lund, Ron Lea, Hannah Spear,",2310,NA
A Dash of Christmas,NA,83,6.7,8.2,NA,Romance,NA,NA,"To get her dream job at a foodie startup, Megan needs to learn how to bake, and she recruits bakery owner Aaron to help her.",Robin Dunn,"Laura Osnes, Christopher Russell, Amy Groening, Zoe Fish,",380,NA
A Glenbrooke Christmas,TV-G,85,6.6,7.2,NA,Drama,Romance,NA,"As Christmas nears, heiress Jessica Morgan seizes what seems like her last chance to experience a relaxed Christmas and heads off to the small town of Glenbrooke, where she meets a handsome fireman.",David I. Strasser,"Autumn Reeser, Antonio Cupo, Lisa MacFadden, Beau Daniels,",1694,NA
Northpole,G,81,6.3,6.8,NA,Drama,Family,Fantasy,"When a loss of togetherness spreads across the globe and threatens the existence of Santa's Northpole, a little boy named Kevin is called upon to save the day.",Douglas Barr,"Tiffani Thiessen, Josh Hopkins, Bailee Madison, Max Charles,",1995,NA
Christmas Again,NA,94,5.2,6.8,NA,Adventure,Comedy,Family,"After a disastrous celebration, 12-year-old Rowena makes a wish and unexpectedly finds herself reliving Christmas Day over and over again.",Andy Fickman,"Scarlett Estevez, Alexis Carra, Beth Lacke, Ashlyn Jade Lopez,",1172,NA
The Thin Man,TV-PG,91,7.9,4.1,86,Comedy,Crime,Mystery,"Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it.",W.S. Van Dyke,"William Powell, Myrna Loy, Maureen O'Sullivan, Nat Pendleton,",32021,NA
A World Record Christmas,NA,84,7,3.6,NA,Comedy,Drama,Romance,"An autistic boy attempts to break a world record on Christmas Eve, uniting his family and community in the process. Inspired by real events.",Jason Bourque,"Nikki Deloach, Lucas Bryant, Aias Dalman, Daphne Hoskins,",598,NA
The Holly and the Ivy,Approved,80,7.3,7.7,NA,Drama,NA,NA,A heartwarming tale of an English minister and his family reunited at Christmas time. Their story includes a remembrance of their World War II trials.,George More O'Ferrall,"Ralph Richardson, Celia Johnson, Margaret Leighton, Denholm Elliott,",1932,NA
Merry Swissmas,TV-PG,88,5.5,7.7,NA,Comedy,Drama,Romance,"When Alex returns home to spend Christmas with her mother, she discovers that her ex-boyfriend and her best friend, who are now dating, are also visiting.",John L'Ecuyer,"Jodie Sweetin, Tim Rozon, Mikaela Lily Davies, Jane Wheeler,",712,NA
Sister Swap: A Hometown Holiday,TV-G,83,6.2,8.1,NA,Romance,NA,NA,A widow attempts to reopen her late-uncle's old dilapidated small town movie theater for one last Christmas screening.,Sean McNamara,"Kimberly Williams-Paisley, Mark Deklin, Susan Yeagley, Kevin Nealon,",1445,NA
"Love, Lights, Hanukkah!",TV-G,84,6.8,8.5,NA,Drama,Romance,NA,"As Christina prepares her restaurant for its busiest time of year, she gets her DNA test revealing that she's Jewish. The discovery leads her to a new family and an unlikely romance over eight nights.",Mark Jean,"Mia Kirshner, Ben Savage, Marilu Henner, Advah Soudack,",1120,NA
The Christmas Setup,TV-PG,85,6.8,5.3,NA,Drama,Romance,NA,"As they enjoy the local holidays together, Hugo and Patrick's attraction to each other is undeniable but as Hugo receives word of a big promotion requiring a move to London, he must decide what is most important to him.",Pat Mills,"Ben Lewis, Blake Lee, Fran Drescher, Ellen Wong,",2788,NA
A Royal Christmas Ball,TV-PG,86,4.6,5.3,NA,Drama,Romance,NA,A bachelor king tries to reconnect with his old college sweetheart.,David DeCoteau,"Tara Reid, Ingo Rademacher, Haley Pullos, Mira Furlan,",1060,NA
A Christmas Frequency,NA,NA,5.3,7.6,NA,Romance,NA,NA,A young radio show producer sets her recently-separated boss up on live-on air blind dates to save their dying show but accidentally falls for one of the contenders and must choose her head or her heart in time for Christmas.,Lindsay Hartley,"Ansley Gordon, Denise Richards, Jonathan Stoddard, Casey Waller,",206,NA
A Christmas to Treasure,TV-G,89,4.9,6.4,NA,Comedy,Romance,NA,"The passing of a beloved old neighbor reunites six friends for a hometown holiday treasure hunt, where sparks fly once again between brand strategist Austin and his former best friend Everett.",Jake Helgren,"Taylor Frey, Kyle Dean Massey, Katie Walder, Mary-Margaret Humes,",517,NA
Silent Night,TV-PG,100,7.5,6.8,NA,Biography,Drama,War,"In a cabin in a WWII front, a German mom with a son mediates a truce between 3 German and 3 American soldiers so they can all celebrate Christmas Eve 1944 together.",Rodney Gibbons,"Linda Hamilton, Matthew Harbour, Romano Orzari, Alain Goulem,",1825,NA
A Cinderella Christmas,Unrated,93,6.2,7.6,NA,Comedy,Romance,NA,"After a wealthy celebrity falls in love with a mystery woman at his Christmas masquerade ball, he attempts to discover her true identity.",Tosca Musk,"Emma Catherine Rigby, Peter Porte, Sarah Stouffer, Leland B. Martin,",3482,NA
A Christmas in Tennessee,TV-PG,87,6.7,8.3,NA,Drama,Family,Romance,A real estate development consultant attempts to sweet-talk the owner of a small town bakery shop into selling her property.,Gary Yates,"Rachel Boston, Andrew W. Walker, Patricia Richardson, Kate Moyer,",1498,NA
The Christmas Note,NA,85,6.7,4,NA,Drama,Mystery,NA,"After moving into a new house, a woman befriends her next-door neighbor and helps her track down a mystery sibling she never knew she had.",Terry Ingram,"Jamie-Lynn Sigler, Leah Gibson, Lynda Boyd, Dylan Kingwell,",1486,NA
Christmas on Honeysuckle Lane,PG,100,6.2,4.3,NA,Drama,Romance,NA,"Emma returns home to celebrate Christmas for the last time with her siblings in the house they grew up in. After their parents' recent passing, the siblings reluctantly agree to sell the family home on Honeysuckle Lane.",Maggie Greenwald,"Alicia Witt, Colin Ferguson, Laura Leighton, Jill Larson,",1340,NA
Santa's Got Style,NA,90,5.7,2,NA,Comedy,Romance,NA,"Follows Madison, a department store executive who takes the idea to hire a young Santa with fashionable style instead of a classic one, but she can't find the right model, until her best friend Ethan decides to be the Santa of her dreams.",Amy Force,"Franco Lo Presti, Kathryn Davis, Brian Sills, Annie Briggs,",229,NA
Hitched for the Holidays,TV-PG,87,6.5,5.9,NA,Drama,Romance,NA,An attractive pair agrees to be each other's supposed significant other throughout the holidays to keep their meddling families at bay.,Michael M. Scott,"Joey Lawrence, Emily Hampshire, Linda Darlow, Marilu Henner,",2269,NA
Making Spirits Bright,TV-G,84,6.2,1.6,NA,Drama,Romance,NA,Grace and Tony are from two separate families who are in the business of decorating homes for Christmas. Unfortunately they have also been in feud for as long as anyone can remember. But ...                See full summary »,David Bercovici-Artieda,"Taylor Cole, Carlo Marks, Sarah Surh, John Cassini,",863,NA
A December Bride,TV-G,86,6.7,5,NA,Comedy,Romance,NA,"A holiday wedding brings no joy to the bride's cousin, who was literally left by the groom right at the altar. But she might find her true love there when she gains a fake fiancé.",David Winning,"Jessica Lowndes, Daniel Lissing, Jay Hindle, Pauline Egan,",3557,NA
Christmas in Tune,TV-PG,87,7,5.6,NA,Drama,Romance,NA,"The story of Belle, a marketing executive who is worried that she might lose her job.",Emily Moss Wilson,"Reba McEntire, John Schneider, Candice King, Justin David,",713,NA
Dear Christmas,TV-G,86,6,3.6,NA,Comedy,Drama,Romance,"Natalie has a hit podcast based on love, but she isn't so expert at finding it herself until Chris Massey enters her life and shakes things up. Not to mention his name.",Emily Moss Wilson,"Melissa Joan Hart, Ed Begley Jr., Faith Prince, Nicky Whelan,",1446,NA
Little Women,Approved,122,7.2,6,61,Drama,Family,Romance,The four daughters of a New England family fight for happiness during and after the Civil War.,Mervyn LeRoy,"June Allyson, Peter Lawford, Margaret O'Brien, Elizabeth Taylor,",8101,$7.47M
A Royal Christmas,TV-G,90,6.5,1.5,NA,Comedy,Family,Romance,"Prince Leopold, heir to the throne of Cordinia, wishes to marry his young love Emily Taylor, a humble seamstress from Philadelphia. But Leopold's mother, Queen Isadora has other plans for her son.",Alex Zamm,"Lacey Chabert, Jane Seymour, Stephen Hagan, Katherine Flynn,",4886,NA
Journey Back to Christmas,TV-G,84,7,1.6,NA,Drama,Family,Fantasy,A WWII-era nurse is transported in time to 2016 and meets a man who helps her discover the bonds of family and that the true meaning of Christmas is timeless.,Mel Damski,"Candace Cameron Bure, Oliver Hudson, Brooke Nevin, Meghan Heffern,",3196,NA
Christmas by Starlight,TV-G,84,7.1,7.8,NA,Comedy,Drama,Romance,"When her family's beloved café is slated for demolition, Annie vows to put a stop to it before Christmas.",Gary Yates,"Kimberley Sustad, Paul Campbell, Darren Martens, Bruce Dawson,",2262,NA
The Mistletoe Promise,TV-G,84,6.6,4.1,NA,Comedy,Drama,Family,Two self-confessed 'Christmasphobes' sign a contract which will mutually benefit them over the holiday season.,David Winning,"Jaime King, Luke Macfarlane, Christie Laing, Lochlyn Munro,",3660,NA
The Christmas Shepherd,TV-G,84,6.7,2.3,NA,Drama,Romance,NA,The search for a missing dog leads to a new romance.,Terry Ingram,"Teri Polo, Martin Cummins, Jordyn Ashley Olson, Jill Teed,",1341,NA
Christmas Wonderland,TV-G,120,5.9,5.4,NA,Comedy,Drama,Romance,"""Heidi (Osment), who initially left her small town of Pleasant Valley with the dream of one day becoming a successful painter, has put her own art on hold to excel as an art gallery curator...                See full summary »",Sean Olson,"Emily Osment, Ryan Rottman, Kelly Hu, Jacob Buster,",3432,NA
Silver Bells,TV-G,95,6.4,7.4,NA,Drama,Family,NA,"Manhattanite Catherine O'Mara (Heche) bonds with a young man who has run away from his father. When the father returns to New York a year later to sell his Christmas trees, he and Catherine cross paths.",Dick Lowry,"Anne Heche, Tate Donovan, Michael Mitchell, Courtney Jines,",1312,NA
The Case of the Christmas Diamond,NA,90,5.2,3,NA,Comedy,Drama,Mystery,"Andy finds herself accused of theft when a multimillion-dollar gem suddenly goes missing from her rich friend's estate. With the help of a famous mystery writer, Andy must find the real culprit amid the litany of wealthy guests.",Peter Sullivan,"William Baldwin, Kelly Daly, Dey Young, Tryphena Wade,",257,NA
Christmas with a Prince,TV-PG,86,5.3,6.2,NA,Comedy,Drama,Romance,"Pediatric specialist Tasha Miller is focused on keeping the kids in her ward as healthy as possible. But when the handsome Prince Alexander Cavalieri breaks his leg on a nearby ski-slope, ...                See full summary »",Justin G. Dyck,"Kaitlyn Leeb, Nick Hounslow, Josh Dean, Melinda Shankar,",1993,NA
The Santa Con,NA,88,6,2,NA,Comedy,Drama,Family,Small-time con man Nick DeMarco is ordered by his parole officer to take a minimum-wage job as a department store Santa during the holidays... and he hates it. Near the end of his first ...                See full summary »,Melissa Joan Hart,"Barry Watson, Melissa Sagemiller, Scott Grimes, Melissa Joan Hart,",716,NA
Christmas at Holly Lodge,TV-G,84,6.5,1.7,NA,Comedy,Drama,Romance,"Sophie Bennett, the owner, tries to convince a developer that the lodge would be a bad investment.",Jem Garrard,"Alison Sweeney, Jordan Bridges, Sheryl Lee Ralph, Yan-Kay Crystal Lowe,",1778,NA
A Song for Christmas,TV-G,89,5.9,5.5,NA,Comedy,Drama,Family,"Two single parents stumble into the possibility of love for Christmas, not knowing that their daughters are embroiled in a nasty rivalry at school.",Christie Will Wolf,"Kelli Williams, Jonathan Scarfe, Pippa Mackie, Kayla Wallace,",981,NA
Switched for Christmas,TV-G,83,6.6,5.6,NA,Drama,Romance,NA,"When identical twin sisters are stuck planning their respective Christmas parties, they're convinced the grass is greener on the other side and decide to swap lives for the holidays.",Lee Friedlander,"Candace Cameron Bure, Eion Bailey, Mark Deklin, Natasha Bure,",3315,NA
My Christmas Family Tree,TV-G,84,7.6,6.3,NA,Drama,Romance,NA,"When Vanessa receives the results from her Family Tree DNA test, she discovers a family she didn't know existed and travels to their home for Christmas.",Jason Bourque,"Aimee Teegarden, Andrew W. Walker, James Tupper, Kendall Cross,",2399,NA
Call Me Mrs. Miracle,NA,87,6.8,7,NA,Comedy,Drama,Family,A family-owned department store is struggling to sell toys during the holidays when a mysterious employee shows up and begins to work miracles.,Michael M. Scott,"Doris Roberts, Jewel Staite, Eric Johnson, Quinn Lord,",2413,NA
A Godwink Christmas: Miracle of Love,TV-G,84,6.2,9,NA,Comedy,Drama,Romance,"Brought together by community service, Eric and Joy find new purpose at Christmas. As they help a family rebuild their home, coincidences and a medical miracle lead them to believe in destiny.",Heather Hawthorn Doyle,"Katherine Barrell, Alberto Frezza, Josh Ssettuba, Faith Wright,",879,NA
