title,rating,runtime,imdb_rating,tmdb_rating,meta_score,genre_1,genre_2,genre_3,description,director,stars,votes,gross
Dashing in December,TV-14,88,6.2,4.9,NA,Drama,Romance,NA,"When Wyatt Burwall finally returns home for the holidays in an effort to convince his mother Deb to sell the family's Colorado ranch, a romance unexpectedly ignites between Wyatt and their ...                See full summary »",Jake Helgren,"Peter Porte, Juan Pablo Di Pace, Andie MacDowell, Caroline Harris,",1509,NA
Hot Chocolate Holiday,NA,95,6.3,6.4,NA,Comedy,Romance,NA,"Colette runs a coffee shop that is known for her famous secret-recipe hot chocolate. When Marcus, a new dessert-shop owner, starts to draw in her customers, she is determined to expose him.",Brian Brough,"Aubrey Reynolds, Jonny Swenson, Kelsie Elena, Susan Phelan,",413,NA
12 Gifts of Christmas,TV-G,84,6.3,5.9,NA,Family,Romance,NA,"With just two weeks left until Christmas, a busy marketing executive hires a struggling artist-turned-personal shopper to help him buy gifts for his friends and family.",Peter Sullivan,"Katrina Law, Aaron O'Connell, Donna Mills, Melanie Nelson,",5162,NA
Cranberry Christmas,NA,84,6.5,8.4,NA,Comedy,Drama,Romance,A separated couple feign marital bliss on national television to help their town's Christmas festival and their business. But what will the future hold for them when rekindled love is complicated by new opportunities.,Linda-Lisa Hayter,"Nikki Deloach, Benjamin Ayres, Marci T. House, Erin Boyes,",1156,NA
A Royal Christmas Match,NA,85,5.5,1.7,NA,Comedy,Romance,NA,"Princess Camille travels to America to create a college exchange program and falls for professor Rhett, but when she discovers he was hired by her father to babysit her, she wonders if he cares more about her or his career.",Jonathan MacPherson,"Jordana Largy, Matthew MacCaull, Bronwen Smith, Ashley Alexander,",314,NA
Oh Christmas Tree!,TV-G,87,6.3,3.5,NA,Comedy,Family,Romance,"After a woman unexpectedly loses her job, she must work at her family's Christmas-tree lot to make ends meet during the holiday season.",Craig Pryce,"Sarah Lancaster, Eric Johnson, Colin Mochrie, Gregory Ambrose Calderone,",2486,NA
The Tree That Saved Christmas,TV-G,88,6.1,8.8,NA,Drama,Romance,NA,A woman returns to her Vermont hometown to try and save her family's Christmas tree farm from foreclosure.,David Winning,"Lacey Chabert, Corey Sevier, Matthew Kevin Anderson, Jim Thorburn,",1240,NA
12 Days of Giving,TV-G,87,6,8.3,NA,Comedy,Drama,Family,"After winning a $50,000 prize, a man decides to pay things forward by buying Christmas gifts for strangers under the pseudonym ""Lucky the Elf.""",Christine Conradt,"Ashley Jones, David Blue, Jax Connolly, Preston James Hillier,",1089,NA
Christmas in the Highlands,NA,84,4.7,4.9,NA,Comedy,Drama,Romance,A New York sales manager is sent to the remote Scottish Highlands at Christmas to acquire a limited edition perfume from a dashing Earl preparing for his annual ball and falls in love instead.,Ryan Dewar,"Dan Jeannotte, Brooke Burfitt, Nicholas Farrell, Geraldine Somerville,",833,NA
Christmas a la Mode,TV-PG,87,6.4,6.2,NA,Drama,Romance,NA,A woman needs a miracle in order to save her family's farm and her father's legacy in time for a happy Christmas.,John Stimpson,"Katie Leclerc, Ryan Cooper, Jennifer Ellis, Kathy Harum,",1074,NA
Christmas at Graceland: Home for the Holidays,TV-G,84,6.2,3.5,NA,Music,Romance,NA,"Harper is in Memphis before Christmas, visiting her sister and family after three years working at museums in Europe. Visiting Graceland with her two nieces, Harper meets a single dad of three kids and is offered a job as temporary nanny.",Eric Close,"Kaitlin Doubleday, Adrian Grenier, Sunny Mabrey, Alan Wells,",1131,NA
Angel of Christmas,TV-G,84,6.2,2.8,NA,Comedy,Romance,NA,"After she finally gets the chance to pen her very first article, an aspiring newspaper writer digs into her family history to find the perfect Christmas story.",Ron Oliver,"Jennifer Finnigan, Jonathan Scarfe, Holly Robinson Peete, Christie Laing,",2320,NA
Wrapped Up in Love,TV-G,89,5.4,5,NA,Comedy,Family,Romance,"Ashley has always been the ""Christmas Queen"" in town. That is, until she meets her match, Ben, a handsome new guy in town, who loves Christmas just as much as she does. They join forces to make Christmas even more meaningful.",Michelle Ouellet,"Brittany Bristow, Olivier Renaud, Tara Joshi, Matt Wells,",385,NA
Trading Christmas,TV-G,87,6.9,4.1,NA,Comedy,Romance,NA,A Teacher from Washington state decides to do a house swap with a Boston Professor to be able to surprise and spend Christmas with her daughter.,Michael M. Scott,"Tom Cavanagh, Faith Ford, Gil Bellows, Gabrielle Miller,",1866,NA
"Love Always, Santa",TV-G,84,6.7,5.9,NA,Drama,Romance,NA,"A widow's daughter writes to Santa Claus, asking for her mother to find love again. When a struggling writer receives the letter, he finds new inspiration and the beginnings of a romance.",Brian Herzlinger,"Marguerite Moreau, Mike Faiola, Brady Smith, Isadora Swann,",1784,NA
A Christmas Kiss II,Unrated,88,5.9,1.9,NA,Comedy,Romance,NA,"At a Christmastime event, Jenna shares an impromptu, unforgettable kiss with the dashing billionaire, Cooper Montgomery. Unaware of his intentions and fearful of getting hurt in another ...                See full summary »",Kevin Connor,"Elisabeth Harnois, Adam Mayfield, Jonathan Bennett, Lola Glaudini,",2188,NA
The Christmas Ornament,TV-G,83,6.8,9,NA,Romance,NA,NA,"A widow plans to give Christmas festivities a miss, as they bring back too many memories of her late husband.",Mark Jean,"Kellie Martin, Cameron Mathison, Jewel Staite, Brendan Meyer,",2176,NA
Matchmaker Santa,TV-G,75,6.5,9.1,NA,Comedy,Drama,Romance,A young baker discovers the magic of Christmas and love.,David S. Cass Sr.,"Lacey Chabert, Florence Henderson, John Ratzenberger, Lin Shaye,",2569,NA
Red Snow,NA,80,5,6.8,43,Comedy,Horror,Thriller,A struggling vampire romance novelist must defend herself against real-life vampires during Christmas in Lake Tahoe.,Sean Nichols Lynch,"Dennice Cisneros, Nico Bellamy, Laura Kennon, Vernon Wells,",2118,NA
Santa Games,NA,90,3.8,5.5,NA,Comedy,NA,NA,"When the manager of a mall where Santa Charles work decides to replace him, he asks to find his replacement. When this ad goes viral, the interview process becomes a series of tasks and challenges leading to an all-out competition.",Keoni Waxman,"Glenn Bond, Michael Cervantes, Lala Costa, Destiny Freeman,",151,NA
Christmas Joy,TV-G,84,6.4,3.7,NA,Family,Romance,NA,"Joy Holbrook is a market researcher about to get a sweet promotion just in time for the holidays. But she receives an urgent phone call from home and rushes back to help her Aunt recover from surgery, reuniting with her former crush, Ben.",Monika Mitchell,"Danielle Panabaker, Matt Long, Lucia Walters, Beverley Elliott,",2035,NA
Broadcasting Christmas,TV-G,84,6,7.7,NA,Comedy,Drama,Family,"Two news broadcasters who previously were in love fight for a position as a morning talk show host that they both want, ultimately finding what made them like each other so much in the first place.",Peter Sullivan,"Melissa Joan Hart, Dean Cain, Cynthia Gibb, Jackée Harry,",2027,NA
